Designator,Mid X,Mid Y,Layer,Rotation,Raw Y
R2,168.06,-55.678,Top,180,-55.678
R3,196.762,-74.728,Top,180,-74.728
R4,177.585,-74.728,Top,180,-74.728
R5,96.686,-24.182,Top,180,-24.182
R6,191.8725,-112.875625,Top,180,-112.875625
R7,153.836,-24.182,Top,180,-24.182
R8,201.334,-93.778,Top,180,-93.778
R9,182.3475,-93.778,Top,180,-93.778
R10,187.11,-131.925625,Top,180,-131.925625
R11,210.986,-24.182,Top,180,-24.182
R12,206.097,-55.678,Top,180,-55.678
R13,149.01,-55.678,Top,180,-55.678
R14,215.812,-74.728,Top,180,-74.728
R15,158.662,-74.728,Top,180,-74.728
R16,220.638,-93.778,Top,180,-93.778
R17,163.488,-93.778,Top,180,-93.778
R18,210.986,-112.828,Top,180,-112.828
R19,172.8225,-112.875625,Top,180,-112.875625
R20,225.21,-55.678,Top,180,-55.678
R21,130.214,-55.678,Top,180,-55.678
R22,234.862,-74.728,Top,180,-74.728
R23,139.612,-74.728,Top,180,-74.728
R24,239.434,-93.778,Top,180,-93.778
R25,144.438,-93.778,Top,180,-93.778
R26,230.036,-112.828,Top,180,-112.828
R27,153.836,-112.828,Top,180,-112.828
R28,244.514,-55.678,Top,180,-55.678
R29,111.164,-55.678,Top,180,-55.678
R30,253.912,-74.728,Top,180,-74.728
R31,120.562,-74.728,Top,180,-74.728
R32,258.484,-93.778,Top,180,-93.778
R33,125.388,-93.524,Top,180,-93.524
R34,249.086,-112.828,Top,180,-112.828
R35,134.786,-112.828,Top,180,-112.828
R36,263.564,-55.678,Top,180,-55.678
R37,91.86,-55.678,Top,180,-55.678
R38,272.835,-74.728,Top,180,-74.728
R39,101.512,-74.728,Top,180,-74.728
R40,277.534,-93.778,Top,180,-93.778
R41,106.084,-93.778,Top,180,-93.778
R42,268.136,-112.828,Top,180,-112.828
R43,115.6725,-112.875625,Top,180,-112.875625
R44,282.36,-55.678,Top,180,-55.678
R45,72.81,-55.678,Top,180,-55.678
R46,291.758,-74.728,Top,180,-74.728
R47,82.208,-74.728,Top,180,-74.728
R48,296.584,-93.778,Top,180,-93.778
R49,87.034,-93.778,Top,180,-93.778
R50,320.46,-112.828,Top,180,-112.828
R51,96.6225,-112.875625,Top,180,-112.875625
R52,295.568,-55.424,Top,180,-55.424
R53,53.76,-55.678,Top,0,-55.678
R54,306.236,-75.236,Top,90,-75.236
R55,58.677,-74.728,Top,180,-74.728
R56,125.388,-24.182,Top,180,-24.182
R57,330.874,-98.604,Top,-90,-98.604
R58,182.284,-24.182,Top,180,-24.182
R59,294.298,-112.828,Top,180,-112.828
R60,326.556,-55.424,Top,0,-55.424
R61,114.481875,-131.925625,Top,180,-131.925625
R62,65.634742,-112.875625,Top,180,-112.875625
R63,239.4975,-24.182,Top,180,-24.182
R64,268.136,-24.182,Top,180,-24.182
R65,296.838,-24.182,Top,180,-24.182
R66,325.286,-24.182,Top,180,-24.182
R67,60.809,-93.778,Top,180,-93.778
R68,259.738125,-131.925625,Top,0,-131.925625
SW0,244.26,-58.98,Top,180,-64.06
SW1,72.81,-58.98,Top,180,-64.06
SW2,91.86,-58.98,Top,180,-64.06
SW3,110.91,-58.98,Top,180,-64.06
SW4,129.96,-58.98,Top,180,-64.06
SW5,149.01,-58.98,Top,180,-64.06
SW6,168.06,-58.98,Top,180,-64.06
SW7,187.11,-58.98,Top,180,-64.06
SW8,206.16,-58.98,Top,180,-64.06
SW9,225.21,-58.98,Top,180,-64.06
SWA1,87.0975,-97.08,Top,180,-102.16
SWB1,172.8225,-116.13,Top,180,-121.21
SWBrk1,320.46,-58.98,Top,180,-64.06
SWBrk2,259.738125,-135.18,Top,180,-140.26
SWC1,134.7225,-116.13,Top,180,-121.21
SWComma1,229.9725,-116.13,Top,180,-121.21
SWCps1,318.07875,-97.08,Top,180,-102.16
SWCtl1,114.481875,-135.18,Top,180,-140.26
SWCtlCaps1,60.90375,-97.08,Top,180,-102.16
SWD1,125.1975,-97.08,Top,180,-102.16
SWDash1,272.835,-78.03,Top,180,-83.11
SWDel1,301.41,-58.98,Top,180,-64.06
SWDel2,310.935,-58.98,Top,180,-64.06
SWE1,120.435,-78.03,Top,180,-83.11
SWEqual1,291.885,-78.03,Top,180,-83.11
SWEsc1,53.76,-58.98,Top,180,-64.06
SWF1,144.2475,-97.08,Top,180,-102.16
SWFn1,96.6225,-27.53,Top,180,-32.61
SWFn2,125.1975,-27.53,Top,180,-32.61
SWFn3,153.7725,-27.53,Top,180,-32.61
SWFn4,182.3475,-27.53,Top,180,-32.61
SWG1,163.2975,-97.08,Top,180,-102.16
SWGT1,282.36,-58.98,Top,180,-64.06
SWH1,182.3475,-97.08,Top,180,-102.16
SWHlp1,210.9225,-27.53,Top,180,-32.61
SWI1,215.685,-78.03,Top,180,-83.11
SWInv1,320.46,-116.13,Top,180,-121.21
SWJ1,201.3975,-97.08,Top,180,-102.16
SWK1,220.4475,-97.08,Top,180,-102.16
SWL1,239.4975,-97.08,Top,180,-102.16
SWLT1,263.31,-58.98,Top,180,-64.06
SWLeftSft1,65.66625,-116.13,Top,180,-121.21
SWM1,210.9225,-116.13,Top,180,-121.21
SWN1,191.8725,-116.13,Top,180,-121.21
SWO1,234.735,-78.03,Top,180,-83.11
SWOption1,296.66,-27.53,Top,180,-32.61
SWP1,253.785,-78.03,Top,180,-83.11
SWPeriod1,249.0225,-116.13,Top,180,-121.21
SWPlus1,277.5975,-97.08,Top,180,-102.16
SWQ1,82.335,-78.03,Top,180,-83.11
SWR1,139.485,-78.03,Top,180,-83.11
SWReset1,325.2225,-27.53,Top,180,-32.61
SWRet1,315.6975,-78.03,Top,180,-83.11
SWRet2,318.07875,-87.555,Top,180,-92.635
SWRightSft1,294.26625,-116.13,Top,180,-121.21
SWS1,106.1475,-97.08,Top,180,-102.16
SWSelect1,268.0725,-27.53,Top,180,-32.61
SWSemi1,258.5475,-97.08,Top,180,-102.16
SWSlash1,268.0725,-116.13,Top,180,-121.21
SWSpc1,187.11,-135.18,Top,180,-140.26
SWStar1,296.6475,-97.08,Top,180,-102.16
SWStart1,239.4975,-27.53,Top,180,-32.61
SWT1,158.535,-78.03,Top,180,-83.11
SWTab1,58.5225,-78.03,Top,180,-83.11
SWU1,196.635,-78.03,Top,180,-83.11
SWV1,153.7725,-116.13,Top,180,-121.21
SWW1,101.385,-78.03,Top,180,-83.11
SWX1,115.6725,-116.13,Top,180,-121.21
SWY1,177.585,-78.03,Top,180,-83.11
SWZ1,96.6225,-116.13,Top,180,-121.21
